detector type,Keypoint detection time(ms),total keypoints,descriptor type,descriptor time taken(ms),matcher type,selector type,Matcher time taken(ms),No of matched points,TTC Lidar,matched points in currBB,TTC Camera,
SIFT,118.949,2093,BRIEF,7.20908,MAT_BF,SEL_KNN,105.648,724,9.61238,51,8.96247,
SIFT,126.205,2159,BRIEF,7.28639,MAT_BF,SEL_KNN,109.542,735,8.3988,50,9.42847,
SIFT,117.964,1890,SIFT,149.87,
SIFT,120.252,1915,SIFT,146.064,MAT_BF,SEL_KNN,120.882,1030,12.5156,84,11.3857,
SIFT,118.716,1824,SIFT,141.964,MAT_BF,SEL_KNN,117.92,987,12.6142,81,12.5728,
SIFT,116.546,1837,SIFT,141.978,MAT_BF,SEL_KNN,111.627,972,14.091,94,12.942,
SIFT,117.223,1828,SIFT,142.977,MAT_BF,SEL_KNN,114.071,964,16.6894,86,18.8185,
SIFT,115.17,1875,SIFT,141.676,MAT_BF,SEL_KNN,115.396,988,15.7466,82,12.4788,
SIFT,118.697,1931,SIFT,145.288,MAT_BF,SEL_KNN,121.252,967,12.7834,90,11.2969,
SIFT,119.513,1963,SIFT,145.865,MAT_BF,SEL_KNN,120.827,1011,11.9844,101,13.5735,
SIFT,125.65,1954,SIFT,146.12,MAT_BF,SEL_KNN,131.285,1036,13.1241,99,14.6941,
SIFT,121.387,1983,SIFT,145.103,MAT_BF,SEL_KNN,131.892,1008,13.0241,106,12.9664,
SIFT,121.387,2043,SIFT,150.143,MAT_BF,SEL_KNN,138.554,1003,11.1746,87,10.5695,
SIFT,120.072,2065,SIFT,152.953,MAT_BF,SEL_KNN,139.075,1084,12.8086,87,11.2887,
SIFT,115.773,2007,SIFT,145.659,MAT_BF,SEL_KNN,138.886,1060,8.95978,92,11.0196,
SIFT,118.578,2030,SIFT,147.255,MAT_BF,SEL_KNN,138.085,1107,9.96439,95,9.24521,
SIFT,121.084,2048,SIFT,151.143,MAT_BF,SEL_KNN,140.989,1125,9.59863,90,10.5761,
SIFT,123.751,2044,SIFT,150.453,MAT_BF,SEL_KNN,143.444,1107,8.52157,94,9.77498,
SIFT,117.275,2086,SIFT,145.076,MAT_BF,SEL_KNN,138.173,1173,9.51556,92,9.05262,
SIFT,121.443,2093,SIFT,151.224,MAT_BF,SEL_KNN,147.318,1183,9.61238,79,8.69158,
SIFT,119.951,2159,SIFT,159.533,MAT_BF,SEL_KNN,154.594,1158,8.3988,81,8.92371,
SIFT,115.7,1890,BRISK,18.9592,
SIFT,118.326,1915,BRISK,19.3857,MAT_BF,SEL_KNN,188.198,633,12.5156,55,11.7937,
SIFT,122.021,1824,BRISK,18.9926,MAT_BF,SEL_KNN,181.694,620,12.6142,58,13.696,
SIFT,118.702,1837,BRISK,19.1778,MAT_BF,SEL_KNN,180.485,634,14.091,77,13.674,
SIFT,116.108,1828,BRISK,19.1653,MAT_BF,SEL_KNN,176.974,593,16.6894,66,20.5542,
SIFT,125.1,1875,BRISK,19.357,MAT_BF,SEL_KNN,181.891,633,15.7466,55,15.5406,
SIFT,118.847,1931,BRISK,19.0883,MAT_BF,SEL_KNN,181.871,600,12.7834,66,10.7762,
SIFT,116.802,1963,BRISK,19.4124,MAT_BF,SEL_KNN,193.738,632,11.9844,74,15.7134,
SIFT,119.306,1954,BRISK,19.4809,MAT_BF,SEL_KNN,197.218,618,13.1241,76,15.2157,
SIFT,116.971,1983,BRISK,19.1547,MAT_BF,SEL_KNN,199.77,599,13.0241,73,13.647,
SIFT,117.01,2043,BRISK,20.8362,MAT_BF,SEL_KNN,206.746,625,11.1746,62,11.3858,
SIFT,138.404,2065,BRISK,20.5167,MAT_BF,SEL_KNN,214.036,620,12.8086,56,12.9654,
SIFT,136.973,2007,BRISK,20.7027,MAT_BF,SEL_KNN,212.487,629,8.95978,58,10.3343,
SIFT,146.9,2030,BRISK,21.0459,MAT_BF,SEL_KNN,215.074,638,9.96439,61,10.0189,
SIFT,145.291,2048,BRISK,20.8079,MAT_BF,SEL_KNN,218.803,688,9.59863,68,9.15168,
SIFT,155.126,2044,BRISK,20.6604,MAT_BF,SEL_KNN,219.268,699,8.52157,58,9.42509,
SIFT,122.2,2086,BRISK,21.2576,MAT_BF,SEL_KNN,221.491,708,9.51556,67,9.0902,
SIFT,118.616,2093,BRISK,20.8896,MAT_BF,SEL_KNN,225.735,753,9.61238,54,9.49963,
